msno,churn_probability
Rg+vzyy44E3SOow1HOOfkmZWrFUC8QpfILf9xOL0JWo=,0.18956771
Ph0te4c5/kLNJwHASQjGMWg9XIVCC4gR03ke7Kq6nOA=,0.1461609
b2Z7Z9hoeYycBOpXf6ufUOQM5lDqNlTXIAVMNlwfico=,0.1489543
X6Y+vPdhcfPcX8w3KewkxxSax2c9qPvXwMwT10mAXHY=,0.09076271
Q7mDzR0zX00sZdoIQGy1XNBFm02k18oSYpxIAkwlI/Y=,0.109265454
kaAZdRLPZdUgGjgzW3O9+Vd8M/nZlj5X5g2sHk4aVcA=,0.14393198
EyN7GjHYKMNKlHkAlWSWjcjEWGspK0gecNfI8sa3zR0=,0.2222407
AhX0pqEzHFrNg2W/PRp/emQlZg27xI1e0xHd21/k5uY=,0.17186166
zl+4a9vuemELxPTRXJyjMhPW+Ihwppk7+e3GoJ0LRiU=,0.12281646
fYgW3yVhQmu2e0Npi8sF9/0uZr41/QsKdHzZ+8jh0qo=,0.17721762
MZE1fDrq2Bo1+IPS8pulKGrdbnl860p4xZKp9VDprKk=,0.15747796
vAT/tTqxuqVERfmWpz2Xnk2MZnGM0N0+6FmpZ81lNY8=,0.57487005
CZstgAcwf45/jpfRiwYEk7gfLjLQB0we2t0T40F3YL8=,0.2235509
uer1STsCJT1EL1PzoYEpDqE7si8qxcfpk+BME7qra40=,0.1636656
nlzIMPGpAamN8Wkx6i3mZffD3PCH9XBToDjHP1Xmy5Q=,0.9770009
hrmbdSxCWjrsM7qh24pBVtgjOhzLpebLuzgE1U0fpmw=,0.5287757
Hg4Voq+zAXU3uGHgq8cNMKFb8tWTd3geicBlXDoMCS4=,0.26876837
qT7vutJ+DDL4mwSK2KfAnrh40gpiNdM2tE+6Kp0VEtw=,0.7185928
cc6B3OTisXkhX79OZaFEkCQ7p+Wx7fKn2sM4pKAAwp8=,0.08216406
Mv/E8OK/UA8JV3DfKLppEyoXG/OdQeEWH9nkh8437/w=,0.1833834
ba1zMB7AXfjWC8r2y11jtXwBUFVzERyY3IdOO9VXTlI=,0.99449843
Srzvy+myBlmANYTVQQsBtAoEJsxoltHY4nztpxXaNgc=,0.116045065
GbKnS81VK4sussd9sejo79CIEacakJKcniuX4LErPUg=,0.15449975
YDNEWXl6cWupfb4CBgdz5EMf74EaBOW0xHePH3K97B0=,0.13894087
wXsijX6PA82vCcglwdj7kSvkal5t1949/WCKzDVo3+o=,0.96424615
yxVt9sJsAMlN1PslA8w+0O21UaI+gwiXonX9XmhEdC4=,0.8379574
hlPKdwEAN8eUcdqatG1NqmBzk/tzBxLw1bxpe9OBm0U=,0.6165779
hLPngb1WoBtg/5teTQqOlLEe3zINFQ5N9iF8Y8ZWnbk=,0.27126202
