msno,churn_probability
Rg+vzyy44E3SOow1HOOfkmZWrFUC8QpfILf9xOL0JWo=,0.18493618
Ph0te4c5/kLNJwHASQjGMWg9XIVCC4gR03ke7Kq6nOA=,0.17003992
b2Z7Z9hoeYycBOpXf6ufUOQM5lDqNlTXIAVMNlwfico=,0.14077815
X6Y+vPdhcfPcX8w3KewkxxSax2c9qPvXwMwT10mAXHY=,0.11150614
Q7mDzR0zX00sZdoIQGy1XNBFm02k18oSYpxIAkwlI/Y=,0.13581012
kaAZdRLPZdUgGjgzW3O9+Vd8M/nZlj5X5g2sHk4aVcA=,0.1440326
EyN7GjHYKMNKlHkAlWSWjcjEWGspK0gecNfI8sa3zR0=,0.28860193
AhX0pqEzHFrNg2W/PRp/emQlZg27xI1e0xHd21/k5uY=,0.11161092
zl+4a9vuemELxPTRXJyjMhPW+Ihwppk7+e3GoJ0LRiU=,0.11003511
fYgW3yVhQmu2e0Npi8sF9/0uZr41/QsKdHzZ+8jh0qo=,0.3015961
MZE1fDrq2Bo1+IPS8pulKGrdbnl860p4xZKp9VDprKk=,0.20488365
vAT/tTqxuqVERfmWpz2Xnk2MZnGM0N0+6FmpZ81lNY8=,0.52164763
CZstgAcwf45/jpfRiwYEk7gfLjLQB0we2t0T40F3YL8=,0.19694135
uer1STsCJT1EL1PzoYEpDqE7si8qxcfpk+BME7qra40=,0.23369758
nlzIMPGpAamN8Wkx6i3mZffD3PCH9XBToDjHP1Xmy5Q=,0.98366433
hrmbdSxCWjrsM7qh24pBVtgjOhzLpebLuzgE1U0fpmw=,0.50960696
Hg4Voq+zAXU3uGHgq8cNMKFb8tWTd3geicBlXDoMCS4=,0.3697903
qT7vutJ+DDL4mwSK2KfAnrh40gpiNdM2tE+6Kp0VEtw=,0.64348817
cc6B3OTisXkhX79OZaFEkCQ7p+Wx7fKn2sM4pKAAwp8=,0.061871544
Mv/E8OK/UA8JV3DfKLppEyoXG/OdQeEWH9nkh8437/w=,0.25225362
ba1zMB7AXfjWC8r2y11jtXwBUFVzERyY3IdOO9VXTlI=,0.99628437
Srzvy+myBlmANYTVQQsBtAoEJsxoltHY4nztpxXaNgc=,0.14104453
GbKnS81VK4sussd9sejo79CIEacakJKcniuX4LErPUg=,0.14882182
YDNEWXl6cWupfb4CBgdz5EMf74EaBOW0xHePH3K97B0=,0.13406768
wXsijX6PA82vCcglwdj7kSvkal5t1949/WCKzDVo3+o=,0.9911487
yxVt9sJsAMlN1PslA8w+0O21UaI+gwiXonX9XmhEdC4=,0.72796625
hlPKdwEAN8eUcdqatG1NqmBzk/tzBxLw1bxpe9OBm0U=,0.20981094
hLPngb1WoBtg/5teTQqOlLEe3zINFQ5N9iF8Y8ZWnbk=,0.27497235
g0BkQvuDV+Sc007HGO9e8b45Ni/mNSVvWn12KKCZ8+Q=,0.24318478
qUVMTzmliDleu9/sFx7smt/7noJfwvM3oSrIfSj8idQ=,0.53122145
25Qxeyfmvf4KZ6NlpMF0JoIB5fo4RrJSLqW8qg2Br4g=,0.12808162
FHjx5k6DdP3R50zUKVKiWhcuvUj4+oOvenYbMbObbt8=,0.98289067
