iter	Logloss
0	0.6678335241
1	0.6441780219
2	0.6209510694
3	0.6041579306
4	0.5877980179
5	0.5715311451
6	0.5602144773
7	0.5517131672
8	0.5438647534
9	0.5374352892
10	0.5316966728
11	0.5263303986
12	0.5217668492
13	0.5158575947
14	0.5122708772
15	0.5075350172
16	0.5046005875
17	0.5009260101
18	0.4981191061
19	0.4960345797
20	0.4935090395
21	0.4911806112
22	0.489381763
23	0.4877542387
24	0.4858012031
25	0.4843798141
26	0.4825441486
27	0.4808242005
28	0.4792225144
29	0.4779612994
30	0.4770070656
31	0.4758836773
32	0.474725868
33	0.4738592222
34	0.472882727
35	0.4720756842
36	0.4710374149
37	0.4702377537
38	0.4694993219
39	0.4687436766
40	0.4679184484
41	0.4671393002
42	0.4664849899
43	0.4657452318
44	0.4651099583
45	0.4645859435
46	0.4641385952
47	0.463711126
48	0.4631865687
49	0.4627137158
50	0.4622133612
51	0.4617729698
52	0.4609803322
53	0.460444816
54	0.4599256249
55	0.4596671796
56	0.459329937
57	0.4589960836
58	0.4586248252
59	0.4581458824
60	0.4576621508
61	0.4573864192
62	0.4569057744
63	0.4564449138
64	0.4560387369
65	0.4556556904
66	0.4553348618
67	0.4548864876
68	0.454585918
69	0.4543567956
70	0.4539795155
71	0.4536741606
72	0.4533825745
73	0.4531669191
74	0.4527991223
75	0.4524556362
76	0.4519331404
77	0.4517237842
78	0.4513364768
79	0.4508905024
80	0.4505439423
81	0.4502140383
82	0.4499711359
83	0.4496093292
84	0.4492477997
85	0.4489685158
86	0.448778447
87	0.4484212513
88	0.4480537633
89	0.4478882954
90	0.447513927
91	0.447175359
92	0.4470136395
93	0.4467952924
94	0.4466239308
95	0.4463409622
96	0.4461737785
97	0.4459505847
98	0.4456531547
99	0.445341761
100	0.4451981238
101	0.4449400881
102	0.444612044
103	0.4443821678
104	0.444177067
105	0.444026183
106	0.4437470218
107	0.4435450037
108	0.4432868252
109	0.4431574695
110	0.4429615691
111	0.4427376019
112	0.4423977399
113	0.4421486333
114	0.4420195833
115	0.4418606383
116	0.4417453389
117	0.4416600697
118	0.4414352304
119	0.4412151998
120	0.4409841059
121	0.4407129088
122	0.4405644576
123	0.4402952548
124	0.4400274057
125	0.4398284164
126	0.4395720233
127	0.4394533588
128	0.4392868537
129	0.4390859351
130	0.4389213627
131	0.438716854
132	0.4384085491
133	0.4382209405
134	0.4380510516
135	0.4378964907
136	0.4377370992
137	0.4376096409
138	0.4373785004
139	0.4371864325
140	0.4369956013
141	0.4367020841
142	0.4365201909
143	0.436394098
144	0.4360744451
145	0.435810021
146	0.4355759644
147	0.4354508193
148	0.4352176929
149	0.4350288896
150	0.4348152927
151	0.4345433474
152	0.4343882222
153	0.4341136257
154	0.4340398699
155	0.4338433012
156	0.4335822571
157	0.433458643
158	0.4331696857
159	0.433036149
160	0.4328053943
161	0.4325705119
162	0.4324575275
163	0.4323223992
164	0.4322094019
165	0.4319394181
166	0.4318693036
167	0.4317526733
168	0.4315007532
169	0.4314081405
170	0.4312578121
171	0.4311638015
172	0.431029919
173	0.4308565485
174	0.4307684229
175	0.4306178481
176	0.4304418274
177	0.4301788916
178	0.429982683
179	0.4298392941
180	0.4295434349
181	0.4294365934
182	0.4291157613
183	0.4288721552
184	0.4286130889
185	0.4284752053
186	0.4281862963
187	0.4278532848
188	0.4277477498
189	0.4276125369
190	0.4275568649
191	0.4272553898
192	0.427132084
193	0.4269833023
194	0.4268022086
195	0.426666629
196	0.4266025695
197	0.4263377012
198	0.4261620711
199	0.4259683287
200	0.425859497
201	0.4255483614
202	0.4254565722
203	0.4253395982
204	0.4251888501
205	0.4250384594
206	0.4248110334
207	0.4247039956
208	0.4244334591
209	0.4242640359
210	0.42413493
211	0.4239474797
212	0.4237610122
213	0.4235541545
214	0.4233508426
215	0.4231441676
216	0.4229792222
217	0.4228700353
218	0.4227099404
219	0.4224758094
220	0.4223123484
221	0.422272211
222	0.4221524569
223	0.4220854997
224	0.4219925299
225	0.4217341225
226	0.4214335918
227	0.421308065
228	0.4211426542
229	0.4208862017
230	0.420770683
231	0.420681305
232	0.420525084
233	0.4204275802
234	0.4203150666
235	0.4201354697
236	0.4200483152
237	0.4199684033
238	0.4198887756
239	0.4198205636
240	0.4197007821
241	0.4195521475
242	0.4194279263
243	0.4191889945
244	0.4190085191
245	0.4188501093
246	0.4187648382
247	0.4185332831
248	0.4183283725
249	0.4182767069
250	0.4181130382
251	0.4179473841
252	0.4178252749
253	0.4177455533
254	0.41752647
255	0.417260512
256	0.4171244758
257	0.417071468
258	0.4169583057
259	0.4168101653
260	0.4165011289
261	0.4162978283
262	0.4161162311
263	0.4159702357
264	0.415827003
265	0.4154407556
266	0.4152509868
267	0.4151560783
268	0.414846832
269	0.4146634941
270	0.4145677564
271	0.4142830813
272	0.4141986093
273	0.4140220143
274	0.4138555372
275	0.4137555816
276	0.4136120932
277	0.4134490475
278	0.4133758117
279	0.4132908161
280	0.4132177721
281	0.4131052505
282	0.4129441805
283	0.4128149579
284	0.4125887345
285	0.4124479673
286	0.4123841737
287	0.412309319
288	0.4121675003
289	0.4120355378
290	0.4118726238
291	0.4117591702
292	0.4116227575
293	0.4115515072
294	0.411412442
295	0.4112865977
296	0.4111170223
297	0.4109360131
298	0.4108308435
299	0.4107032125
300	0.4105766683
301	0.4104225598
302	0.4103300832
303	0.4101951631
304	0.4100346867
305	0.4099658291
306	0.4098067039
307	0.4096801571
308	0.4095627732
309	0.4094428274
310	0.4092686256
311	0.4090895216
312	0.4090259646
313	0.4088710311
314	0.4086902555
315	0.4086118341
316	0.4084397879
317	0.4083336052
318	0.408214092
319	0.4080967444
320	0.4079656964
321	0.4078195145
322	0.4076820349
323	0.4074550654
324	0.4073424704
325	0.4072474346
326	0.4071332508
327	0.407057417
328	0.4069568855
329	0.4068308582
330	0.4067278672
331	0.4065755326
332	0.4065206251
333	0.4064550058
334	0.4063320536
335	0.406144037
336	0.4060229767
337	0.4058726551
338	0.4057630255
339	0.4056815636
340	0.4056157276
341	0.4053600148
342	0.4052905211
343	0.4052124634
344	0.4051202824
345	0.4050255363
346	0.4048478117
347	0.4047247241
348	0.4046553791
349	0.4045559521
350	0.4043061237
351	0.4041750068
352	0.4041378065
353	0.4039787225
354	0.4038578892
355	0.403770699
356	0.4036664851
357	0.4035485361
358	0.4033921114
359	0.4033530456
360	0.4032557712
361	0.4032136042
362	0.4031001717
363	0.4030616776
364	0.4029786999
365	0.4028665728
366	0.4028105539
367	0.4026918959
368	0.4026005975
369	0.4024869209
370	0.4023208432
371	0.4022308666
372	0.4020821625
373	0.4019671362
374	0.4019054564
375	0.4018313241
376	0.4017479489
377	0.4016595581
378	0.4015155957
379	0.4014400643
380	0.4013125212
381	0.40125235
382	0.4011675776
383	0.4010805007
384	0.4010093954
385	0.4008973462
386	0.4007650536
387	0.4007086362
388	0.4006327254
389	0.4005484252
390	0.4004319072
391	0.4003651358
392	0.4002893655
393	0.4002276648
394	0.4001919285
395	0.4000944389
396	0.4000201101
397	0.3999535394
398	0.3999213632
399	0.399813294
400	0.3997458683
401	0.3996239771
402	0.3995219464
403	0.3994461223
404	0.3993761483
405	0.3993051042
406	0.3992417679
407	0.3991516617
408	0.399089589
409	0.3990291405
410	0.3989614931
411	0.3988071741
412	0.3986952038
413	0.3985181526
414	0.3983840133
415	0.3982295076
416	0.3981765944
417	0.3980883005
418	0.3979494839
419	0.3977831453
420	0.3976749417
421	0.3975920671
422	0.3974699325
423	0.3973374128
424	0.3972955374
425	0.397242032
426	0.3971881558
427	0.3971010156
428	0.3969956177
429	0.3969281888
430	0.3968693132
431	0.3968371083
432	0.3967182155
433	0.3965890509
434	0.3964547327
435	0.3963287766
436	0.3962529706
437	0.3962068499
438	0.3961227469
439	0.3960316554
440	0.3959058706
441	0.3958099407
442	0.3956818922
443	0.3955631141
444	0.3955003936
445	0.3953626354
446	0.3953094999
447	0.395255319
448	0.3952251155
449	0.3950869665
450	0.3950036848
451	0.3949275127
452	0.394763763
453	0.3947070876
454	0.3946179078
455	0.3945340141
456	0.3944327198
457	0.3943825117
458	0.394266872
459	0.3941697262
460	0.3940209255
461	0.3939861278
462	0.3938573013
463	0.3937995116
464	0.3937471329
465	0.3936741549
466	0.3935694892
467	0.393473785
468	0.3932846665
469	0.3931967655
470	0.3930830882
471	0.3929787512
472	0.3928373407
473	0.3927793723
474	0.3927320082
475	0.3926564952
476	0.3925875708
477	0.3924450855
478	0.3923588509
479	0.3922474463
480	0.3921326671
481	0.3918998969
482	0.3918097525
483	0.3917255817
484	0.3916348189
485	0.391492157
486	0.3913627566
487	0.3913230177
488	0.3912620713
489	0.3912240161
490	0.3911494639
491	0.3909903505
492	0.390937602
493	0.390873415
494	0.3907677977
495	0.3906315653
496	0.3904768806
497	0.390401097
498	0.3903572606
499	0.3902463268
